url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/pulls,35,3
/EarthSciML/EarthSciData.jl/pull/152,22,2
/EarthSciML/EarthSciData.jl,20,4
/EarthSciML/EarthSciData.jl/actions/runs/22228913223/job/64302925723,18,1
/EarthSciML/EarthSciData.jl/actions/runs/22227513093/job/64297934557,8,1
/EarthSciML/EarthSciData.jl/pull/160,7,3
/EarthSciML/EarthSciData.jl/actions/runs/22227513043/job/64297934244,7,1
/EarthSciML/EarthSciData.jl/actions/runs/22395103393/job/64826656604,6,1
/EarthSciML/EarthSciData.jl/pull/141,5,4
/EarthSciML/EarthSciData.jl/actions/runs/22227512765/job/64297932742,4,1
