url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl,10,3
/EarthSciML/EarthSciData.jl/blob/main/src/geosfp.jl,6,2
/EarthSciML/EarthSciData.jl/actions/runs/16040833253,5,1
/EarthSciML/EarthSciData.jl/tree/main/src,4,2
/EarthSciML/EarthSciData.jl/commit/930cc77227498254a5e61f6868a58e5a3bd96410,3,2
/EarthSciML/EarthSciData.jl/actions,3,1
/EarthSciML/EarthSciData.jl/blob/main/src/coupling.jl,3,1
/EarthSciML/EarthSciData.jl/blob/main/src/nei2016monthly.jl,3,1
/EarthSciML/EarthSciData.jl/blob/main/bench/runbenchmarks.jl,2,2
/EarthSciML/EarthSciData.jl/actions/runs/16040833253/job/45261870570,2,1
