time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-03-22 00:00:00+00:00,126,39,50,3
2026-03-23 00:00:00+00:00,104,42,31,1
2026-03-24 00:00:00+00:00,9,5,1,1
2026-03-25 00:00:00+00:00,5,5,3,2
2026-03-26 00:00:00+00:00,10,4,0,0
2026-03-27 00:00:00+00:00,17,11,0,0
2026-03-28 00:00:00+00:00,35,20,4,1
2026-03-29 00:00:00+00:00,65,26,26,3
2026-03-30 00:00:00+00:00,21,13,1,1
2026-03-31 00:00:00+00:00,9,5,0,0
2026-04-01 00:00:00+00:00,74,33,22,1
2026-04-02 00:00:00+00:00,26,12,2,1
2026-04-03 00:00:00+00:00,24,13,3,2
2026-04-04 00:00:00+00:00,44,17,12,1
