url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/actions,16,1
/EarthSciML/EarthSciData.jl,15,2
/EarthSciML/EarthSciData.jl/commits/main,7,1
/EarthSciML/EarthSciData.jl/actions/runs/10500060346,5,1
/EarthSciML/EarthSciData.jl/blob/main/.github/workflows/CI.yml,4,1
/EarthSciML/EarthSciData.jl/tree/main/src,4,1
/EarthSciML/EarthSciData.jl/commit/307526a4f2f12ded6a368698dbdd73f4254259aa,3,2
/EarthSciML/EarthSciData.jl/actions/runs/10431966293,3,1
/EarthSciML/EarthSciData.jl/actions/runs/10431966294,3,1
/EarthSciML/EarthSciData.jl/actions/runs/10518213412/job/29143644569,3,1
