time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-07 00:00:00+00:00,4,4,0,0
2026-06-08 00:00:00+00:00,9,4,1,1
2026-06-09 00:00:00+00:00,26,9,4,4
2026-06-10 00:00:00+00:00,27,18,2,2
2026-06-11 00:00:00+00:00,20,9,3,3
2026-06-12 00:00:00+00:00,23,9,2,2
2026-06-13 00:00:00+00:00,28,11,2,2
2026-06-14 00:00:00+00:00,15,5,0,0
2026-06-15 00:00:00+00:00,22,7,4,2
2026-06-16 00:00:00+00:00,26,8,1,1
2026-06-17 00:00:00+00:00,34,12,1,1
2026-06-18 00:00:00+00:00,38,13,11,2
2026-06-19 00:00:00+00:00,71,18,7,1
2026-06-20 00:00:00+00:00,87,21,2,1
