url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/pulls,27,1
/EarthSciML/EarthSciData.jl/actions,21,1
/EarthSciML/EarthSciData.jl/blob/main/src/load.jl,18,2
/EarthSciML/EarthSciData.jl/tree/main/src,15,3
/EarthSciML/EarthSciData.jl/pull/48,15,1
/EarthSciML/EarthSciData.jl/blob/main/docs/src/index.md,10,1
/EarthSciML/EarthSciData.jl/commits/main,10,1
/EarthSciML/EarthSciData.jl,9,3
/EarthSciML/EarthSciData.jl/blob/main/src/geosfp.jl,8,2
/EarthSciML/EarthSciData.jl/actions/runs/9813901166,6,1
