url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/blob/207b9a2c680438a4e32196a52ca18dde6236f48f/src/nei2016monthly.jl,20,1
/EarthSciML/EarthSciData.jl/tree/207b9a2c680438a4e32196a52ca18dde6236f48f/src,15,1
/EarthSciML/EarthSciData.jl/blob/207b9a2c680438a4e32196a52ca18dde6236f48f/src/load.jl,10,1
/EarthSciML/EarthSciData.jl/blob/207b9a2c680438a4e32196a52ca18dde6236f48f/src/netcdf.jl,9,1
/EarthSciML/EarthSciData.jl/tree/main/src,7,1
/EarthSciML/EarthSciData.jl/blob/main/src/load.jl,5,1
/EarthSciML/EarthSciData.jl/blob/207b9a2c680438a4e32196a52ca18dde6236f48f/test/load_test.jl,3,1
/EarthSciML/EarthSciData.jl,2,1
/EarthSciML/EarthSciData.jl/blob/207b9a2c680438a4e32196a52ca18dde6236f48f/Project.toml,2,1
/EarthSciML/EarthSciData.jl/blob/207b9a2c680438a4e32196a52ca18dde6236f48f/src/utils.jl,2,1
