time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-02-23 00:00:00+00:00,35,12,0,0
2026-02-24 00:00:00+00:00,11,6,5,3
2026-02-25 00:00:00+00:00,64,24,34,4
2026-02-26 00:00:00+00:00,16,10,0,0
2026-02-27 00:00:00+00:00,11,9,0,0
2026-02-28 00:00:00+00:00,28,9,5,1
2026-03-01 00:00:00+00:00,109,35,51,4
2026-03-02 00:00:00+00:00,27,12,2,2
2026-03-03 00:00:00+00:00,26,11,6,1
2026-03-04 00:00:00+00:00,47,21,13,1
2026-03-05 00:00:00+00:00,111,16,16,1
2026-03-06 00:00:00+00:00,147,34,62,1
2026-03-07 00:00:00+00:00,115,33,25,1
2026-03-08 00:00:00+00:00,134,48,29,1
