url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl,6,3
/EarthSciML/EarthSciData.jl/blob/main/src/geosfp.jl,6,2
/EarthSciML/EarthSciData.jl/tree/main/src,4,2
/EarthSciML/EarthSciData.jl/blob/main/src/coupling.jl,3,1
/EarthSciML/EarthSciData.jl/blob/main/src/nei2016monthly.jl,3,1
/EarthSciML/EarthSciData.jl/blob/de8370566c83ae2c09123ac9a386207e91ac6f21/docs/src/nei2016.md,1,1
/EarthSciML/EarthSciData.jl/blob/main/src/EarthSciData.jl,1,1
/EarthSciML/EarthSciData.jl/blob/main/src/load.jl,1,1
