url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/issues/209,67,3
/EarthSciML/EarthSciData.jl,15,5
/EarthSciML/EarthSciData.jl/pulls,15,3
/EarthSciML/EarthSciData.jl/issues,11,2
/EarthSciML/EarthSciData.jl/pull/208,8,3
/EarthSciML/EarthSciData.jl/tree/main/src,6,3
/EarthSciML/EarthSciData.jl/issues/132,4,1
/EarthSciML/EarthSciData.jl/blob/main/src/geosfp.jl,3,2
/EarthSciML/EarthSciData.jl/actions/runs/22790279835,2,1
/EarthSciML/EarthSciData.jl/commit/672ea80bf30c42ade559dc3642fd240cc016140f,2,1
