url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/actions,5,1
/EarthSciML/EarthSciData.jl,4,2
/EarthSciML/EarthSciData.jl/commit/1e05c8e603879be3d8749b4c43b7424a94ba29b9,3,1
/EarthSciML/EarthSciData.jl/actions/runs/13023077290,2,1
/earthsciml/earthscidata.jl/issues/73,2,1
/EarthSciML/EarthSciData.jl/pull/94,2,1
/earthsciml/earthscidata.jl,1,1
/EarthSciML/earthscidata.jl,1,1
/EarthSciML/EarthSciData.jl/actions/runs/12991045958,1,1
/EarthSciML/EarthSciData.jl/actions/runs/13023077290/job/36327448142,1,1
