url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/actions,108,1
/EarthSciML/EarthSciData.jl,12,1
/EarthSciML/EarthSciData.jl/actions/runs/15290861831,9,1
/EarthSciML/EarthSciData.jl/actions/runs/15290861842,8,1
/EarthSciML/EarthSciData.jl/pulls,6,1
/EarthSciML/EarthSciData.jl/actions/runs/15290514206,5,1
/EarthSciML/EarthSciData.jl/actions/runs/15268611047,4,2
/EarthSciML/EarthSciData.jl/actions/runs/15290861831/job/43009958717,4,1
/EarthSciML/EarthSciData.jl/actions/runs/15274951563,3,2
/EarthSciML/EarthSciData.jl/actions/runs/15289195495,3,1
