time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-08 00:00:00+00:00,11,6,3,3
2026-09-09 00:00:00+00:00,2,2,0,0
2026-09-10 00:00:00+00:00,35,12,18,3
2026-09-11 00:00:00+00:00,40,25,0,0
2026-09-12 00:00:00+00:00,4,4,1,1
2026-09-13 00:00:00+00:00,4,4,0,0
2026-09-14 00:00:00+00:00,3,3,0,0
2026-09-15 00:00:00+00:00,21,10,1,1
2026-09-16 00:00:00+00:00,4,4,1,1
2026-09-17 00:00:00+00:00,6,4,1,1
2026-09-18 00:00:00+00:00,4,4,0,0
2026-09-19 00:00:00+00:00,5,5,0,0
2026-09-20 00:00:00+00:00,15,14,0,0
2026-09-21 00:00:00+00:00,132,11,0,0
