url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl,5,3
/EarthSciML/EarthSciData.jl/blob/main/.github/workflows/CI.yml,4,1
/EarthSciML/EarthSciData.jl/blob/main/Project.toml,2,2
/EarthSciML/EarthSciData.jl/blob/main/src/nei2016monthly.jl,2,1
/EarthSciML/EarthSciData.jl/tree/main/.github/workflows,2,1
/EarthSciML/EarthSciData.jl/tree/main/src,2,1
/EarthSciML/EarthSciData.jl/actions,1,1
/EarthSciML/EarthSciData.jl/commit/493b9b3401ed0b97667c26f81eb5afcb9244c5ba,1,1
/EarthSciML/EarthSciData.jl/commit/62cea654a5681137be74651a848916553a47c9ea,1,1
