url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl/pull/96,17,2
/EarthSciML/EarthSciData.jl/pulls,13,1
/EarthSciML/EarthSciData.jl,11,4
/EarthSciML/EarthSciData.jl/blob/main/src/wrf.jl,7,2
/EarthSciML/EarthSciData.jl/actions,7,1
/EarthSciML/EarthSciData.jl/actions/metrics/usage,5,1
/EarthSciML/EarthSciData.jl/pull/96/files,4,1
/EarthSciML/EarthSciData.jl/actions/caches,3,1
/EarthSciML/EarthSciData.jl/actions/runs/14115267024,3,1
/EarthSciML/EarthSciData.jl/actions/runs/14253540255/job/39951952490,3,1
