url_path,views_total,views_unique
/EarthSciML/EarthSciData.jl,42,3
/EarthSciML/EarthSciData.jl/tree/main/src,24,2
/EarthSciML/EarthSciData.jl/blob/main/src/geosfp.jl,15,1
/EarthSciML/EarthSciData.jl/tree/main/test,15,1
/EarthSciML/EarthSciData.jl/blob/main/test/nei2016monthly_test.jl,13,1
/EarthSciML/EarthSciData.jl/actions,11,1
/EarthSciML/EarthSciData.jl/blob/main/test/geosfp_test.jl,11,1
/EarthSciML/EarthSciData.jl/pulls,11,1
/EarthSciML/EarthSciData.jl/tree/main/docs,11,1
/EarthSciML/EarthSciData.jl/blob/main/Project.toml,10,2
